K_BREV_T;SPRAK_2_TEGN
AP_ENDR_FT_MAN;NB
AP_ENDR_FT_MAN;NN
AP_ENDR_FT_MAN;EN
OMSORG_EGEN_AUTO;NB
OMSORG_EGEN_AUTO;NN
OMSORG_EGEN_AUTO;EN
OMSORG_EGEN_MAN;NB
OMSORG_EGEN_MAN;NN
OMSORG_EGEN_MAN;EN
AP_INNV_AO_FAP_AUTO;NB
AP_INNV_AO_FAP_AUTO;NN
AP_INNV_AO_FAP_AUTO;EN
AP_STANS_FLYTT_MAN;NB
AP_STANS_FLYTT_MAN;NN
AP_STANS_FLYTT_MAN;EN
VARSEL_TILBAKEBET;NB
VARSEL_TILBAKEBET;NN
VARSEL_TILBAKEBET;EN
AP_INNV_AO_75_AUTO;NB
AP_INNV_AO_75_AUTO;NN
AP_INNV_AO_75_AUTO;EN
AP_ENDR_FLYTT_MAN;NB
AP_ENDR_FLYTT_MAN;NN
AP_ENDR_FLYTT_MAN;EN
AP_ENDR_GJRETT_MAN;NB
AP_ENDR_GJRETT_MAN;NN
AP_ENDR_GJRETT_MAN;EN
AP_AVSL_FT_MAN;NB
AP_AVSL_FT_MAN;NN
AP_AVSL_FT_MAN;EN
