K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_03_178;BARNEP;1;1
PE_IY_03_178;FAM_PL;1;1
PE_IY_03_178;GAM_YRK;1;1
PE_IY_03_178;GENRL;1;1
PE_IY_03_178;GJENLEV;1;1
PE_IY_03_178;GRBL;1;1
PE_IY_03_178;KRIGSP;1;1
PE_IY_03_178;OMSORG;1;1
PE_IY_03_178;UFOREP;1;1
PE_IY_03_179;AFP;1;1
PE_IY_03_179;AFP_PRIVAT;1;1
PE_IY_03_179;ALDER;1;1
PE_IY_03_179;BARNEP;1;1
PE_IY_03_179;FAM_PL;1;1
PE_IY_03_179;GAM_YRK;1;1
PE_IY_03_179;GENRL;1;1
PE_IY_03_179;GJENLEV;1;1
PE_IY_03_179;GRBL;1;1
PE_IY_03_179;KRIGSP;1;1
PE_IY_03_179;OMSORG;1;1
PE_IY_03_179;UFOREP;1;1
PE_IY_03_180;AFP;1;1
PE_IY_03_180;AFP_PRIVAT;1;1
PE_IY_03_180;ALDER;1;1
PE_IY_03_180;BARNEP;1;1
PE_IY_03_180;FAM_PL;1;1
PE_IY_03_180;GAM_YRK;1;1
PE_IY_03_180;GENRL;1;1
PE_IY_03_180;GJENLEV;1;1
PE_IY_03_180;GRBL;1;1
PE_IY_03_180;KRIGSP;1;1
PE_IY_03_180;OMSORG;1;1
PE_IY_03_180;UFOREP;1;1
PE_IY_04_001;OMSORG;1;1
PE_IY_04_010;OMSORG;1;1
PE_IY_04_050;AFP;1;1
PE_IY_04_050;AFP_PRIVAT;1;1
PE_IY_04_050;ALDER;1;1
PE_IY_04_050;BARNEP;1;1
PE_IY_04_050;FAM_PL;1;1
PE_IY_04_050;GAM_YRK;1;1
PE_IY_04_050;GENRL;1;1
PE_IY_04_050;GJENLEV;1;1
PE_IY_04_050;GRBL;1;1
PE_IY_04_050;KRIGSP;1;1
PE_IY_04_050;OMSORG;1;1
PE_IY_04_050;UFOREP;1;1
